Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
OW434303,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,partial,Denmark:Hovedstaden,Homo sapiens,,"Danish Covid-19 Genome,Consortium.",2021-10-01,2022-04-10,ssRNA(+)
OX383634,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,JU-ETHZ-38006276,29844,partial,Switzerland:JU,Homo sapiens,,,2022-11-11,2022-12-03,ssRNA(+)
PV282911,Influenza A virus,Alphainfluenzavirus influenzae,H3N2,USAFSAM-15462,2274,partial,South Korea: North Jeolla,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-16,2025-03-14,ssRNA(-)
MZ570757,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,FL-BPHL-5174,29297,partial,USA: FL,Homo sapiens,,"Schmedes,S., Blanton,J.",2021-06-17,2021-07-16,ssRNA(+)
OQ858128,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,CA-CDPH-1002013848,29744,partial,USA,Homo sapiens,,"Smith,E.",2022-07-19,2023-04-21,ssRNA(+)
OX342728,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29844,partial,United Kingdom:England,Homo sapiens,,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-09-15,2022-09-30,ssRNA(+)
OX992014,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29876,complete,United Kingdom:England,Homo sapiens,,,2022-02-04,2023-06-22,ssRNA(+)
OE999018,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,SO-ETHZ-380285,29903,partial,Switzerland:SO,Homo sapiens,,,2020-11-25,2021-05-07,ssRNA(+)
OY469199,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29882,complete,United Kingdom:Wales,Homo sapiens,,,2021-12-30,2023-07-25,ssRNA(+)
MH902518,Bovine viral diarrhea virus 1e,Pestivirus bovis,,CH1896,246,partial,Switzerland: LU canton,Bos taurus,,"Stalder,H., Bachofen,C., Schweizer,M., Zanoni,R., Sauerlaender,D., Peterhans,E.",2008,2018-12-18,ssRNA(+)
MW850324,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,NC-CDC-2-4068920,29761,partial,USA: NC,Homo sapiens,oronasopharynx,"Sheth,M., Nobles,S., Padilla,J., Burroughs,M., Le,S., Dillon,K., Cook,P., Paden,C.R., Batra,D., Queen,K., Knipe,K., Howard,D., Unoarumhi,Y., Wagner,D., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Halpin,A.L., Wentworth,D., Dugan,V., Tong,S., Lee,J.",2021-01-05,2021-04-01,ssRNA(+)
OX788323,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29750,complete,United Kingdom:England,Homo sapiens,,,2022-01-12,2023-06-19,ssRNA(+)
PP979105,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,IVY-G43S38G9,29644,partial,USA: Colorado,Homo sapiens,,"Lauring,A.S., Blair,C.N.",2024-05-15,2024-07-03,ssRNA(+)
OV002831,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,complete,United Kingdom:England,Homo sapiens,,,2021-10-14,2021-11-21,ssRNA(+)
AF004436,Venezuelan equine encephalitis virus,Alphavirus venezuelan,,,817,partial,,,,"Powers,A.M., Oberste,M.S., Brault,A.C., Rico-Hesse,R., Schmura,S.M., Smith,J.F., Kang,W., Sweeney,W.P., Weaver,S.C.",,1997-10-24,ssRNA(+)
OZ298201,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,Z6127,29896,complete,Germany:Northrhine Westphalia; Duesseldorf metropolitan area,Homo sapiens,,"Walker,A., Houwaart,T., Wienemann,T., Vasconcelos,M.K., Strelow,D., Senff,T., Hulse,L., Adams,O., Andree,M., Hauka,S., Feldt,T., Jensen,B.E., Keitel,V., Kindgen-Milles,D., Timm,J., Pfeffer,K., Dilthey,A.T., Finzer,P., Ehlkes,L., Tyshaieva,A., Damagnez,M., Duplessis,A., Nicolai,J., Tamayo,T., Kohns Vasconcelos,M., Hoffmann,K., Lubke,N., Daumer,M.P., Thielen,A., Kolbe-Busch,S., Gobels,K., Zotz,R., University Hospital,Duesseldorf.",2021-09-08,2025-08-07,ssRNA(+)
OY340747,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29903,complete,United Kingdom:Scotland,Homo sapiens,,,2020-12-19,2023-07-18,ssRNA(+)
EU588940,Human immunodeficiency virus 1,Lentivirus humimdef1,,15452USNP3794XX6286c02091pcENVSA5XXXX,1655,partial,USA:Seattle,Homo sapiens,,"Liu,Y., Curlin,M.E., Diem,K., Zhao,H., Ghosh,A.K., Zhu,H., Woodward,A.S., Maenza,J., Stevens,C.E., Stekler,J., Collier,A.C., Genowati,I., Deng,W., Zioni,R., Corey,L., Zhu,T., Mullins,J.I., Ghosh,A., Stevens,C., Steckler,J.",2002-09,2008-04-21,ssRNA-RT
PP926413,Hepacivirus hominis,Hepacivirus hominis,,9360,358,partial,Mexico: Jalisco,Homo sapiens,blood,"Laguna-Meraz,S., Trujillo-Trujillo,M.E., Jose-Abrego,A., Roman,S., Panduro,A.",2012-02-29,2024-06-25,ssRNA(+)
KX610271,Yam necrosis-associated virus,Yam necrosis-associated virus,,IgC6 variant 13,253,partial,Benin,Dioscorea cayenensis subsp. rotundata,,"Filloux,D., Svanella-Dumas,L., Bonheur,L., Acina-Mambole,I., Gomez,R.-M., Faure,C., Anzala,F., Lange,D., Umber,M., Pavis,C., Roumagnac,P., Marais,A., Theil,S., Candresse,T., Teychenez,P.-Y.",2012,2018-07-01,ssRNA(+)
OY580705,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29882,complete,United Kingdom:Wales,Homo sapiens,,,2021-12-30,2023-07-30,ssRNA(+)
OV615110,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,partial,United Kingdom:England,Homo sapiens,,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-12-16,2022-01-18,ssRNA(+)
OL679229,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,WA-CDC-UW21111974599,29511,partial,USA: Washington,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Roychoudhury,P., Xie,H., Shrestha,L., Nguyen,T.V., Bakhash,S.M., Lin,M., Baker,N.R., Perez,R., Ellis,S., Breit,N., Livingston,R.J., Huang,M.-L., Jerome,K.R., Mathias,P., Greninger,A., Paden,C.R., MacCannell,D.",2021-11-19,2021-11-30,ssRNA(+)
OY392135,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29896,complete,United Kingdom:Scotland,Homo sapiens,,,2021-10-28,2023-07-22,ssRNA(+)
OV204157,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,partial,United Kingdom:England,Homo sapiens,,"Lighthouse Laboratory,Plymouth., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-11-20,2021-12-15,ssRNA(+)
GU589945,Hepacivirus C,Hepacivirus hominis,,Case5-Don1,950,partial,Spain,Homo sapiens,blood,"Ramirez,S., Perez-del-Pulgar,S., Carrion,J.A., Coto-Llerena,M., Mensa,L., Dragun,J., Garcia-Valdecasas,J.C., Navasa,M., Forns,X.",,2010-04-05,ssRNA(+)
PV076484,Porcine reproductive and respiratory syndrome virus 2,Betaarterivirus americense,,09-000558,603,partial,Canada,Sus scrofa,,"Ojkic,D.",2009,2025-03-05,ssRNA(+)
OQ833102,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,NC-CDC-LC1035968,29595,partial,USA: North Carolina,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Thornburg,N., Unoarumhi,Y., Chau,R., Lacek,K.A., Mandal,P., Bajwa,M., Momin,N., Morrison,S., Gulvik,C., Sula,E., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.",2023-04-06,2023-04-18,ssRNA(+)
OW827981,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29850,partial,United Kingdom:Scotland,Homo sapiens,,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-04-25,2022-05-12,ssRNA(+)
KF544189,Human immunodeficiency virus 1,Lentivirus humimdef1,,JFN33_RT267,767,partial,Kenya,Homo sapiens,blood,"Chung,M.H., Beck,I.A., Dross,S., Tapia,K., Kiarie,J.N., Richardson,B.A., Overbaugh,J., Sakr,S.R., John-Stewart,G.C., Frenkel,L.M.",2006,2014-09-01,ssRNA-RT
OV722023,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29873,partial,United Kingdom:England,Homo sapiens,,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-01-11,2022-01-25,ssRNA(+)
OB983367,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29903,complete,United Kingdom:England,Homo sapiens,,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2020-10-15,2021-04-20,ssRNA(+)
OY243120,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,28602,partial,Germany:Europe/Germany/North Rhine-Westphalia,Homo sapiens,,,2022-03-24,2023-07-05,ssRNA(+)
OX654881,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29873,complete,United Kingdom:England,Homo sapiens,,,2020-03-11,2023-06-16,ssRNA(+)
ON363451,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,GA-CDC-QDX35916610,29724,complete,USA: Georgia,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-04-11,2022-04-27,ssRNA(+)
OM016699,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,OH-CDC-ASC210536087,29793,complete,USA: Ohio,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-12-14,2021-12-25,ssRNA(+)
OX195330,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29872,partial,Denmark:Hovedstaden,Homo sapiens,,"Danish Covid-19 Genome,Consortium.",2022-03-11,2022-07-09,ssRNA(+)
MZ036492,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,GA-CDC-LC0040314,29713,partial,USA: Georgia,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Jain,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.",2021-04-08,2021-04-27,ssRNA(+)
OV602178,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29873,partial,United Kingdom:England,Homo sapiens,,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-01-05,2022-01-18,ssRNA(+)
OV016800,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,partial,United Kingdom:England,Homo sapiens,,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-11-05,2021-11-23,ssRNA(+)
AF025067,Human immunodeficiency virus 1,Lentivirus humimdef1,,patient 6,297,partial,,Homo sapiens,,"Zhang,Y.M., Imamichi,H., Imamichi,T., Lane,H.C., Falloon,J., Vasudevachari,M.B., Salzman,N.P.",,1997-10-29,ssRNA-RT
AU078522,JC polyomavirus,Betapolyomavirus secuhominis,,KO-1,610,partial,,,urine,"Sugimoto,C., Demenev,V., Sekino,Y., Kojima,K., Honjo,T., Kato,A., Kitamura,T., Kida,H., Hovi,T., Vesikari,T., Schalken,J.A., Tomita,K., Kobayashi,N., Mitsunobu,Y., Yogo,Y.",,2000-04-04,dsDNA
DQ410547,Human immunodeficiency virus 1,Lentivirus humimdef1,,C93v1e7,2613,partial,USA,Homo sapiens,,"Bailey,J.R., Lassen,K.G., Yang,H.C., Quinn,T.C., Ray,S.C., Blankson,J.N., Siliciano,R.F.",,2006-05-10,ssRNA-RT
OM465304,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,MN-CDC-IBX477847331965,29781,partial,USA: Minnesota,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Bixby,C., Wang,Y., Schultz,J., Goswami,C., Hager,R., Grimwood,R., Paden,C.R., MacCannell,D.",2022-01-13,2022-02-01,ssRNA(+)
OV239855,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29815,partial,Germany:Europe/Germany/North Rhine-Westphalia,Homo sapiens,,,2021-11-23,2021-12-15,ssRNA(+)
OX215188,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29876,partial,Denmark:Hovedstaden,Homo sapiens,,"Danish Covid-19 Genome,Consortium.",2022-06-01,2022-07-11,ssRNA(+)
PV679844,Alphatorquevirus homin21,Alphatorquevirus homin21,,GE-2560-25-0005,2953,partial,Switzerland,Homo sapiens,blood,"Laubscher,F., Chudzinski,V., Cordey,S., Hosszu-Fellous,K., Kaiser,L.",,2025-07-02,ssDNA(-)
OR820045,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,MIS-L370471725,29640,partial,USA: Michigan,Homo sapiens,,"Lauring,A.S., Papalambros,L.",2023-10-20,2023-11-16,ssRNA(+)
MZ728405,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,UT-UPHL-210707678728,29783,partial,USA: UTAH,Homo sapiens,,"Gupta,P.",2021-06-22,2021-08-09,ssRNA(+)
KU308398,Foveavirus mali,Foveavirus mali,,HB-HN1,9270,complete,China,Pyrus communis,,"Ma,X., Hong,N., Wang,G.",2010-03-20,2017-01-11,ssRNA(+)
OX940173,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29769,complete,United Kingdom:England,Homo sapiens,,,2022-01-06,2023-06-21,ssRNA(+)
OP112877,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,ME-HETL-J15800,29558,complete,USA: Maine,Homo sapiens,,"Dewey,H., Kales,S., Tewhey,R.",2022-06-18,2022-08-01,ssRNA(+)
OX578467,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,complete,United Kingdom:Northern_Ireland,Homo sapiens,,,2021-10-05,2023-05-06,ssRNA(+)
KJ199233,Human immunodeficiency virus 1,Lentivirus humimdef1,,926-05_RT-26,541,partial,USA,Homo sapiens,,"Lipscomb,J.T., Switzer,W.M., Li,J.F., Masciotra,S., Owen,S.M., Johnson,J.A.",1994-02-17,2014-04-14,ssRNA-RT
AY767057,Hepacivirus C,Hepacivirus hominis,,29062-R,322,partial,,,,"Poon,A.F., Kosakovsky Pond,S.L., Bennett,P., Richman,D.D., Leigh Brown,A.J., Frost,S.D.",,2004-10-30,ssRNA(+)
PV728123,Influenza A virus,Alphainfluenzavirus influenzae,H3N2,,865,partial,USA: Wisconsin,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.",2025-03-19,2025-06-02,ssRNA(-)
OM999305,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,GA-CDC-QDX34289415,29747,complete,USA: Georgia,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-02-27,2022-03-16,ssRNA(+)
PQ444283,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,720903262,29162,partial,Bahrain,Homo sapiens,,"Alharam,S., Abbas,Z.",2024-07-02,2024-10-09,ssRNA(+)
DM079938,Influenza A virus,Alphainfluenzavirus influenzae,,,19,partial,,,,"Ga,C., Kumar,M., Mcswiggen,J.A.",,2009-04-21,ssRNA(-)
OW296465,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29818,partial,Germany:Europe/Germany/Schleswig-Holstein,Homo sapiens,,,2021-09-30,2022-03-29,ssRNA(+)
PQ863493,Cotesia ruficrus bracovirus,Cotesia ruficrus bracovirus,,CrBV-1,46703,partial,China,Cotesia ruficrus,,"Li,X., Zhang,S.",2022-05,2025-02-19,dsDNA
MW780829,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,IN-CDC-LC0022992,29713,partial,USA: Indiana,Homo sapiens,oronasopharynx,"Cook,P.W., Howard,D., Batra,D., Rambo-Martin,B.L., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Jain,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., Tong,S., MacCannell,D.",2021-03-01,2021-03-19,ssRNA(+)
MN564984,Measles virus genotype D8,Morbillivirus hominis,,19EV1520W,450,partial,New Zealand,Homo sapiens,oronasopharynx,"Dilcher,M.",2019-05,2020-10-31,ssRNA(-)
OV745204,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29873,partial,United Kingdom:England,Homo sapiens,,"Lighthouse Laboratory,Plymouth., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-01-13,2022-01-28,ssRNA(+)
OV778729,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29852,partial,United Kingdom:England,Homo sapiens,,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-01-19,2022-01-31,ssRNA(+)
OY249689,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29626,partial,Germany:Europe/Germany/Baden-Wurttemberg,Homo sapiens,,,2022-08-10,2023-07-05,ssRNA(+)
PV724753,Influenza B virus,Betainfluenzavirus influenzae,,,2275,partial,USA: Nebraska,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.",2025-04-07,2025-06-02,ssRNA(-)
KU955454,Chikungunya virus,Alphavirus chikungunya,,chik-23,920,partial,India,Homo sapiens,,"Singh,P., Sharma,P., Chhabra,M., Mittal,V., Rai,A.",2011,2017-04-12,ssRNA(+)
PQ705642,Influenza A virus,Alphainfluenzavirus influenzae,H5N1,23-000279-001-original,1497,partial,USA: CA,,swab,"Tawidian,P., Torchetti,M.K., Killian,M.L., Lantz,K., Dilione,K.E., Ringenberg,J.M., Bevins,S.N., Lenoch,J.B., Ip,H.S., Aufderhar,M., Franzen,K., Killian,M., Stuber,T., Hicks,J., Norris,C., Lakin,S.",2022-12-15,2024-12-06,ssRNA(-)
OM508555,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,MA-CDCBI-CRSP_VPR6CKFUQUVRJTYC,29851,partial,USA: Massachusetts,Homo sapiens,,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.",2022-01-22,2022-02-03,ssRNA(+)
OV299361,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,partial,United Kingdom:England,Homo sapiens,,"Berkshire, Surrey Pathology Services Lighthouse,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-11-24,2021-12-22,ssRNA(+)
OW792607,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29754,partial,Germany:Europe/Germany/North Rhine-Westphalia,Homo sapiens,,,2022-02-08,2022-05-07,ssRNA(+)
MH576515,T4virus environmental sample,T4virus environmental sample,,,406,partial,Russia: Lake Baikal,,,"Potapov,S., Belykh,O., Krasnopeev,A., Galachyants,A., Podlesnaya,G., Khanaev,I., Tikhonova,I., Potapov,S.A., Belykh,O.I.",2017-12-09,2019-03-11,dsDNA
PP051919,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,CO-CDPHE-41526817,29706,partial,USA,Homo sapiens,,"Matzinger,S.R., Bankers,L., Rossheim,A., Hetherington-Rauth,M.C., Smith,A., Bogale,H.N., Baird,S., Polanco,D.",2023-11-19,2023-12-27,ssRNA(+)
